,title,price,link,keyword
103,tonette musical instrument,10,https://charlottesville.craigslist.org/msg/d/palmyra-tonette-musical-instrument/7776915887.html,missing
104,bobelock luxurious professional suspension viola case,150,https://charlottesville.craigslist.org/msg/d/scottsville-bobelock-luxurious/7776656248.html,missing
105,4 fake books for  c instruments,60,https://charlottesville.craigslist.org/msg/d/charlottesville-fake-books-for/7781864992.html,missing
106,2023 gibson 50's les paul standard goldtop,2499,https://charlottesville.craigslist.org/msg/d/forest-2023-gibson-50s-les-paul/7781834742.html,gibson
107,sire larry carlton a3-d dreadnought,325,https://charlottesville.craigslist.org/msg/d/staunton-sire-larry-carlton-a3/7781791310.html,missing
108,ormsby goliath 7 string moore green,1500,https://charlottesville.craigslist.org/msg/d/charlottesville-ormsby-goliath-string/7781732792.html,missing
109,skb ps-25 pedalboard with carrying case,75,https://charlottesville.craigslist.org/msg/d/charlottesville-skb-ps-25-pedalboard/7781342577.html,missing
110,fender rocpro 1000 guitar head,200,https://charlottesville.craigslist.org/msg/d/quinque-fender-rocpro-1000-guitar-head/7781267582.html,fender
111,wanted: older arch top guitar,1,https://charlottesville.craigslist.org/msg/d/charlottesville-wanted-older-arch-top/7780003467.html,missing
112,halfstack line6 hd100 and hd100 mkii bogner guitar amps,250,https://charlottesville.craigslist.org/msg/d/quinque-halfstack-line6-hd100-and-hd100/7781008646.html,missing
113,miraphone 186 4v rotary bb tuba,3000,https://charlottesville.craigslist.org/msg/d/charlottesville-miraphone-186-4v-rotary/7780585070.html,missing
114,open back harmony banjo,125,https://charlottesville.craigslist.org/msg/d/ruckersville-open-back-harmony-banjo/7780538568.html,missing
115,magnatone twilighter mono,2400,https://charlottesville.craigslist.org/msg/d/charlottesville-magnatone-twilighter/7780321446.html,missing
116,‘68 custom pro reverb,950,https://charlottesville.craigslist.org/msg/d/charlottesville-68-custom-pro-reverb/7780261987.html,missing
117,stratocaster with gig bag cord amp,120,https://charlottesville.craigslist.org/msg/d/schuyler-stratocaster-with-gig-bag-cord/7772930257.html,missing
118,‘03 larrivee d-03r acoustic guitar w hsc,1100,https://charlottesville.craigslist.org/msg/d/crozet-03-larrivee-03r-acoustic-guitar/7773578714.html,missing
119,ampeg bass amp vintage svt iii,400,https://charlottesville.craigslist.org/msg/d/raphine-ampeg-bass-amp-vintage-svt-iii/7779642101.html,missing
120,peavey stereo chorus 400 guitar amplifier,240,https://charlottesville.craigslist.org/msg/d/waynesboro-peavey-stereo-chorus-400/7779548704.html,missing
121,fender mustang ii 40w guitar amplifier,115,https://charlottesville.craigslist.org/msg/d/waynesboro-fender-mustang-ii-40w-guitar/7779545072.html,fender
122,ukelele package,130,https://charlottesville.craigslist.org/msg/d/charlottesville-ukelele-package/7779339146.html,missing
123,rare early model kramer pacer (1985),999,https://charlottesville.craigslist.org/msg/d/amherst-rare-early-model-kramer-pacer/7775042571.html,missing
124,digitech harmony man pedal - reduced!,100,https://charlottesville.craigslist.org/msg/d/amherst-digitech-harmony-man-pedal/7775054274.html,missing
125,wampler pinnacle standard distortion pedal,100,https://charlottesville.craigslist.org/msg/d/amherst-wampler-pinnacle-standard/7775055007.html,missing
126,celestion v30 g12 speaker,85,https://charlottesville.craigslist.org/msg/d/amherst-celestion-v30-g12-speaker/7775057629.html,missing
127,earthquaker devices space spiral effects pedal,125,https://charlottesville.craigslist.org/msg/d/charlottesville-earthquaker-devices/7775029147.html,missing
128,fender limited edition telecaster,650,https://charlottesville.craigslist.org/msg/d/lynchburg-fender-limited-edition/7778415585.html,fender
129,skb ps-25 pedalboard with carrying case,75,https://charlottesville.craigslist.org/msg/d/charlottesville-skb-ps-25-pedalboard/7769898956.html,missing
130,fender limited edition telecaster,650,https://charlottesville.craigslist.org/msg/d/lynchburg-fender-limited-edition/7778215113.html,fender
131,otto ernst fischer violin,1800,https://charlottesville.craigslist.org/msg/d/charlottesville-otto-ernst-fischer/7768638949.html,missing
132,ibanez sa260 flametop- offers?!?,299,https://charlottesville.craigslist.org/msg/d/charlottesville-ibanez-sa260-flametop/7768982733.html,ibanez
133,bow re-hair,50,https://charlottesville.craigslist.org/msg/d/bow-re-hair/7777281604.html,missing
134,steinway model m grand piano for sale,4950,https://charlottesville.craigslist.org/msg/d/amherst-steinway-model-grand-piano-for/7777250716.html,missing
135,prs mccarty korina with humbuckers 2008 - 2009 - vintage cherry,3400,https://charlottesville.craigslist.org/msg/d/charlottesville-prs-mccarty-korina-with/7777031896.html,missing
136,prs custom 24 wood library 10-top,3800,https://charlottesville.craigslist.org/msg/d/charlottesville-prs-custom-24-wood/7777027410.html,missing
137,fender frontman 15r amp,50,https://charlottesville.craigslist.org/msg/d/etlan-fender-frontman-15r-amp/7776886302.html,fender
138,"patch cables, effects box connectors, and adapters",40,https://charlottesville.craigslist.org/msg/d/charlottesville-patch-cables-effects/7767863277.html,missing
139,peavey cs 800x4 power amp,300,https://charlottesville.craigslist.org/msg/d/quinque-peavey-cs-800x4-power-amp/7776691338.html,missing
140,peavey sp 115m floor monitors (4),680,https://charlottesville.craigslist.org/msg/d/quinque-peavey-sp-115m-floor-monitors/7776684766.html,missing
141,peavey cs 800s 2-channel power amp,220,https://charlottesville.craigslist.org/msg/d/quinque-peavey-cs-800s-channel-power-amp/7776675175.html,missing
142,free upright piano!,1,https://charlottesville.craigslist.org/msg/d/charlottesville-free-upright-piano/7773265254.html,missing
143,peavey dm 118 subs (pair),1300,https://charlottesville.craigslist.org/msg/d/quinque-peavey-dm-118-subs-pair/7776658168.html,missing
